ID;Description
GO:0009790;embryo development
GO:0043043;peptide biosynthetic process
GO:0006412;translation
GO:0009792;embryo development ending in birth or egg hatching
GO:0043604;amide biosynthetic process
GO:0006518;peptide metabolic process
GO:0043603;cellular amide metabolic process
GO:0006396;RNA processing
GO:0022613;ribonucleoprotein complex biogenesis
GO:0000278;mitotic cell cycle
GO:0051301;cell division
GO:0022402;cell cycle process
GO:0006397;mRNA processing
GO:0016071;mRNA metabolic process
GO:0034622;cellular protein-containing complex assembly
GO:0008380;RNA splicing
GO:0007276;gamete generation
GO:0045184;establishment of protein localization
GO:0044703;multi-organism reproductive process
GO:0015031;protein transport
GO:0006886;intracellular protein transport
GO:1903047;mitotic cell cycle process
GO:0019953;sexual reproduction
GO:0051276;chromosome organization
GO:0000377;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000398;mRNA splicing, via spliceosome
GO:0000375;RNA splicing, via transesterification reactions
GO:0015833;peptide transport
GO:0042886;amide transport
GO:0034613;cellular protein localization
GO:0070727;cellular macromolecule localization
GO:0022412;cellular process involved in reproduction in multicellular organism
GO:0051321;meiotic cell cycle
GO:0051726;regulation of cell cycle
GO:0042254;ribosome biogenesis
GO:0007281;germ cell development
GO:0007292;female gamete generation
GO:0046907;intracellular transport
GO:0065003;protein-containing complex assembly
GO:0048285;organelle fission
GO:0010564;regulation of cell cycle process
GO:0000280;nuclear division
GO:0048609;multicellular organismal reproductive process
GO:0006259;DNA metabolic process
GO:0048477;oogenesis
GO:0003006;developmental process involved in reproduction
GO:0032504;multicellular organism reproduction
GO:0034660;ncRNA metabolic process
GO:0071826;ribonucleoprotein complex subunit organization
GO:0022618;ribonucleoprotein complex assembly
GO:0007346;regulation of mitotic cell cycle
GO:0033365;protein localization to organelle
GO:1903046;meiotic cell cycle process
GO:0033043;regulation of organelle organization
GO:0072594;establishment of protein localization to organelle
GO:0006418;tRNA aminoacylation for protein translation
GO:0002119;nematode larval development
GO:0140014;mitotic nuclear division
GO:0002164;larval development
GO:0017038;protein import
GO:0051128;regulation of cellular component organization
GO:0043039;tRNA aminoacylation
GO:0009791;post-embryonic development
GO:0051783;regulation of nuclear division
GO:0006974;cellular response to DNA damage stimulus
GO:0006260;DNA replication
GO:0043038;amino acid activation
GO:0000910;cytokinesis
GO:0044265;cellular macromolecule catabolic process
GO:0071103;DNA conformation change
GO:0007010;cytoskeleton organization
GO:0000226;microtubule cytoskeleton organization
GO:0007017;microtubule-based process
GO:0006364;rRNA processing
GO:0006281;DNA repair
GO:0051640;organelle localization
GO:0019941;modification-dependent protein catabolic process
GO:0006913;nucleocytoplasmic transport
GO:0051169;nuclear transport
GO:0006413;translational initiation
GO:0043632;modification-dependent macromolecule catabolic process
GO:0007059;chromosome segregation
GO:0006325;chromatin organization
GO:0006261;DNA-dependent DNA replication
GO:0016072;rRNA metabolic process
GO:0045787;positive regulation of cell cycle
GO:0061640;cytoskeleton-dependent cytokinesis
GO:0033554;cellular response to stress
GO:0009057;macromolecule catabolic process
GO:0098813;nuclear chromosome segregation
GO:0000819;sister chromatid segregation
GO:0034470;ncRNA processing
GO:0042273;ribosomal large subunit biogenesis
GO:0007088;regulation of mitotic nuclear division
GO:0006323;DNA packaging
GO:0006606;protein import into nucleus
