ID;Description
GO:0045595;regulation of cell differentiation
GO:0060562;epithelial tube morphogenesis
GO:0045935;positive regulation of nucleobase-containing compound metabolic process
GO:0010557;positive regulation of macromolecule biosynthetic process
GO:0051254;positive regulation of RNA metabolic process
GO:0009886;post-embryonic animal morphogenesis
GO:0007552;metamorphosis
GO:0048707;instar larval or pupal morphogenesis
GO:0008283;cell proliferation
GO:0048569;post-embryonic animal organ development
GO:0045893;positive regulation of transcription, DNA-templated
GO:1902680;positive regulation of RNA biosynthetic process
GO:1903508;positive regulation of nucleic acid-templated transcription
GO:0060284;regulation of cell development
GO:0051960;regulation of nervous system development
GO:0048667;cell morphogenesis involved in neuron differentiation
GO:0031175;neuron projection development
GO:0032990;cell part morphogenesis
GO:0048858;cell projection morphogenesis
GO:0120039;plasma membrane bounded cell projection morphogenesis
GO:0048812;neuron projection morphogenesis
GO:0007560;imaginal disc morphogenesis
GO:0048563;post-embryonic animal organ morphogenesis
GO:0040007;growth
GO:0001654;eye development
GO:0048880;sensory system development
GO:0150063;visual system development
GO:0045165;cell fate commitment
GO:0035220;wing disc development
GO:0045944;positive regulation of transcription by RNA polymerase II
GO:0048749;compound eye development
GO:0050767;regulation of neurogenesis
GO:0048736;appendage development
GO:0061564;axon development
GO:0048737;imaginal disc-derived appendage development
GO:0035107;appendage morphogenesis
GO:0007409;axonogenesis
GO:0048589;developmental growth
GO:0035114;imaginal disc-derived appendage morphogenesis
GO:0035120;post-embryonic appendage morphogenesis
GO:0007417;central nervous system development
GO:0030855;epithelial cell differentiation
GO:0007424;open tracheal system development
GO:0048598;embryonic morphogenesis
GO:0051094;positive regulation of developmental process
GO:0060541;respiratory system development
GO:0033043;regulation of organelle organization
GO:0048585;negative regulation of response to stimulus
GO:0042127;regulation of cell proliferation
GO:0016477;cell migration
GO:1903047;mitotic cell cycle process
GO:0016071;mRNA metabolic process
GO:0051240;positive regulation of multicellular organismal process
GO:0007472;wing disc morphogenesis
