protein1,protein2,combined_score
Q0045,YJL062W-A,0.581
Q0045,YML030W,0.808
Q0045,Q0250,0.9808
Q0045,YMR145C,0.9
Q0045,YOR065W,0.9
Q0045,YLR067C,0.536
Q0045,YMR080C,0.581
Q0045,YDL085W,0.9
Q0045,Q0070,0.54
Q0045,YPR191W,0.9536
Q0045,Q0065,0.54
Q0045,YLR163C,0.54
Q0045,YFR033C,0.9
Q0045,YHR086W,0.581
Q0045,YHR051W,0.9808
Q0045,Q0140,0.581
Q0045,YJL166W,0.9
Q0045,Q0275,0.9808
Q0045,Q0120,0.9
Q0045,YLR203C,0.581
Q0045,YEL024W,0.9
Q0045,YGR183C,0.9
Q0045,YBL045C,0.9808
Q0045,YLR038C,0.9297
Q0045,YDR119W-A,0.804
Q0045,YER154W,0.581
Q0045,YDR529C,0.9
Q0045,YIL157C,0.56
Q0045,YMR256C,0.9808
Q0045,YDL067C,0.9324
Q0045,YLR395C,0.9324
Q0045,YGL191W,0.9808
Q0045,Q0050,0.9
Q0045,YNR018W,0.808
Q0045,Q0060,0.54
Q0045,Q0105,0.9297
Q0045,YGR222W,0.585
Q0045,YNL052W,0.9324
Q0045,YML120C,0.9
Q0045,YHR001W-A,0.9
Q0045,YCL017C,0.59
Q0045,YDL044C,0.581
Q0045,YGL226W,0.54
Q0045,YIL111W,0.80288
Q0045,YGL187C,0.9808
Q0050,YBL045C,0.9
Q0050,YLR038C,0.9
Q0050,YDR529C,0.9
Q0050,Q0250,0.9
Q0050,YMR256C,0.9
Q0050,YMR145C,0.9
Q0050,YOR065W,0.9
Q0050,YDL067C,0.9
Q0050,YDL085W,0.9
Q0050,YLR395C,0.9
Q0050,Q0045,0.9
Q0050,YPR191W,0.9
Q0050,YGL191W,0.9
Q0050,YFR033C,0.9
Q0050,Q0105,0.9
Q0050,YNL052W,0.9
Q0050,YML120C,0.9
Q0050,YPR140W,0.662
Q0050,YHR051W,0.9
Q0050,YHR001W-A,0.9
Q0050,YJL166W,0.9
Q0050,Q0275,0.9
Q0050,Q0120,0.9
Q0050,YEL024W,0.9
Q0050,YAL024C,0.662
Q0050,YGR183C,0.9
Q0050,YGL187C,0.9
Q0060,Q0250,0.54
Q0060,YOR065W,0.54
Q0060,Q0070,0.54
Q0060,YPR191W,0.54
Q0060,Q0065,0.54
Q0060,YLR163C,0.54
Q0060,YFR033C,0.54
Q0060,YHR051W,0.54
Q0060,YJL166W,0.54
Q0060,Q0275,0.54
Q0060,YEL024W,0.54
Q0060,YGR183C,0.54
Q0060,YBL045C,0.54
Q0060,YLR038C,0.54
Q0060,YDR119W-A,0.54
Q0060,YDR529C,0.54
Q0060,YMR256C,0.54
Q0060,YDL067C,0.54
Q0060,YLR395C,0.54
Q0060,Q0045,0.54
Q0060,YGL191W,0.54
Q0060,Q0105,0.54
Q0060,YNL052W,0.54
Q0060,YHR001W-A,0.54
Q0060,YGL226W,0.54
Q0060,YIL111W,0.54
Q0060,YGL187C,0.66466
Q0065,Q0250,0.54
Q0065,YOR065W,0.54
Q0065,Q0070,0.54
Q0065,YPR191W,0.54
Q0065,YLR163C,0.54
Q0065,YFR033C,0.54
Q0065,YHR051W,0.54
Q0065,YJL166W,0.54
Q0065,Q0275,0.54
Q0065,YEL024W,0.54
Q0065,YGR183C,0.54
Q0065,YBL045C,0.54
Q0065,YLR038C,0.54
Q0065,YDR119W-A,0.54
Q0065,YDR529C,0.54
Q0065,YMR256C,0.54
Q0065,YDL067C,0.54
Q0065,YLR395C,0.54
Q0065,Q0045,0.54
Q0065,YGL191W,0.54
Q0065,Q0060,0.54
Q0065,Q0105,0.54
Q0065,YNL052W,0.54
Q0065,YHR001W-A,0.54
Q0065,YGL226W,0.54
Q0065,YIL111W,0.54
Q0065,YGL187C,0.66466
Q0070,Q0250,0.54
Q0070,YOR065W,0.54
Q0070,YPR191W,0.54
Q0070,Q0065,0.54
Q0070,YLR163C,0.54
Q0070,YFR033C,0.54
Q0070,YHR051W,0.54
Q0070,YJL166W,0.54
Q0070,Q0275,0.54
Q0070,YEL024W,0.54
Q0070,YGR183C,0.54
Q0070,YBL045C,0.54
Q0070,YLR038C,0.54
Q0070,YDR119W-A,0.54
Q0070,YDR529C,0.54
Q0070,YMR256C,0.54
Q0070,YDL067C,0.54
Q0070,YLR395C,0.54
Q0070,Q0045,0.54
Q0070,YGL191W,0.54
Q0070,Q0060,0.54
Q0070,Q0105,0.54
Q0070,YNL052W,0.54
Q0070,YHR001W-A,0.54
Q0070,YGL226W,0.54
Q0070,YIL111W,0.54
Q0070,YGL187C,0.66466
Q0080,YPL271W,0.944
Q0080,YPR036W,0.72
Q0080,YBL099W,0.98852
Q0080,YEL027W,0.72
Q0080,YDR298C,0.944
Q0080,YPR020W,0.72
Q0080,YPL078C,0.98852
Q0080,YLR393W,0.808
Q0080,YHR026W,0.72
Q0080,YLR067C,0.536
Q0080,YLR447C,0.72
Q0080,YJR121W,0.98852
Q0080,YKL016C,0.98852
Q0080,YBR127C,0.72
Q0080,YOR270C,0.72
Q0080,YMR267W,0.65
Q0080,YEL051W,0.72
Q0080,YOL077W-A,0.944
Q0080,YDR226W,0.9
Q0080,Q0085,0.98852
Q0080,YKL080W,0.72
Q0080,YDR322C-A,0.72
Q0080,YDL185W,0.72
Q0080,YML081C-A,0.944
Q0080,YPL234C,0.72
Q0080,YMR054W,0.72
Q0080,YBR039W,0.944
Q0080,YLR203C,0.581
Q0080,YOR020W-A,0.54
Q0080,YGR020C,0.72
Q0080,YLR295C,0.944
Q0080,Q0130,0.944
Q0080,YBR011C,0.65
Q0080,YDR377W,0.97284
Q0080,YOR332W,0.72
Q0080,YDL004W,0.944
Q0080,YER170W,0.9
Q0080,YHR039C-A,0.72
Q0080,YCL005W-A,0.72
Q0085,YPL271W,0.9959
Q0085,YEL027W,0.9
Q0085,YLR067C,0.536
Q0085,YLR447C,0.9
Q0085,YKL016C,0.9959
Q0085,YOL077W-A,0.944
Q0085,YKL080W,0.9
Q0085,YMR054W,0.9
Q0085,YOR020W-A,0.54
Q0085,YLR295C,0.98852
Q0085,YDR377W,0.95884
Q0085,YPR036W,0.9
Q0085,YPR020W,0.72
Q0085,YPL078C,0.9959
Q0085,YLR393W,0.808
Q0085,YBR127C,0.9
Q0085,YMR267W,0.65
Q0085,YEL051W,0.9
Q0085,YPL234C,0.9
Q0085,Q0275,0.808
Q0085,YLR203C,0.581
Q0085,YGR020C,0.9
Q0085,YOR332W,0.9
Q0085,YDL004W,0.9959
Q0085,YER154W,0.581
Q0085,YHR026W,0.9
Q0085,YOR270C,0.72
Q0085,YDR226W,0.9
Q0085,YDL185W,0.9
Q0085,YML081C-A,0.9959
Q0085,YBR011C,0.65
Q0085,YCL005W-A,0.72
Q0085,YBL099W,0.9959
Q0085,YDR298C,0.9853
Q0085,YJR121W,0.9959
Q0085,YDR322C-A,0.72
Q0085,YBR039W,0.9959
Q0085,Q0130,0.98852
Q0085,Q0080,0.98852
Q0085,YER170W,0.9
Q0085,YHR039C-A,0.9
Q0105,YGR062C,0.9
Q0105,YML030W,0.808
Q0105,YPL132W,0.9
Q0105,Q0250,0.9808
Q0105,YMR145C,0.9
Q0105,YOR065W,0.9853
Q0105,YMR080C,0.581
Q0105,YDL085W,0.9
Q0105,YJL003W,0.9324
Q0105,YJL045W,0.9
Q0105,YER141W,0.9
Q0105,Q0070,0.54
Q0105,YPR191W,0.9903
Q0105,Q0065,0.54
Q0105,YLR163C,0.54
Q0105,YFR033C,0.98
Q0105,YHR116W,0.9
Q0105,YHR086W,0.581
Q0105,YHR051W,0.9
Q0105,YJL166W,0.9912
Q0105,Q0275,0.9808
Q0105,Q0120,0.9
Q0105,YPL215W,0.581
Q0105,YKL148C,0.9
Q0105,YEL024W,0.9853
Q0105,YGR183C,0.98
Q0105,YLL041C,0.9
Q0105,YBL045C,0.9923
Q0105,YPL172C,0.9
Q0105,YLR038C,0.9
Q0105,YDR119W-A,0.72
Q0105,YER154W,0.581
Q0105,YDR529C,0.9912
Q0105,YMR256C,0.9808
Q0105,YJR048W,0.8
Q0105,YEL039C,0.8
Q0105,YDL067C,0.9
Q0105,YKL141W,0.9
Q0105,YLR395C,0.9
Q0105,Q0045,0.9297
Q0105,YDR231C,0.9296
Q0105,YLL018C-A,0.9
Q0105,Q0050,0.9
Q0105,YGL191W,0.9
Q0105,YDR178W,0.9
Q0105,Q0060,0.54
Q0105,YGR174C,0.581
Q0105,YNL052W,0.9
Q0105,YML120C,0.9
Q0105,YHR001W-A,0.9
Q0105,YDL044C,0.581
Q0105,YGL226W,0.54
Q0105,YBR120C,0.581
Q0105,YIL111W,0.9
Q0105,YGL187C,0.9808
Q0120,YGR062C,0.9
Q0120,YPL132W,0.9
Q0120,Q0250,0.9
Q0120,YMR145C,0.9
Q0120,YOR065W,0.9
Q0120,YDL085W,0.9
Q0120,YJL003W,0.9
Q0120,YJL045W,0.9
Q0120,YER141W,0.9
Q0120,YPR191W,0.9
Q0120,YFR033C,0.9
Q0120,YHR116W,0.9
Q0120,YHR051W,0.9
Q0120,YJL166W,0.9
Q0120,Q0275,0.9
Q0120,YKL148C,0.9
Q0120,YEL024W,0.9
Q0120,YGR183C,0.9
Q0120,YLL041C,0.9
Q0120,YBL045C,0.9
Q0120,YPL172C,0.9
Q0120,YLR038C,0.9
Q0120,YDR529C,0.9
Q0120,YMR256C,0.9
Q0120,YDL067C,0.9
Q0120,YKL141W,0.9
Q0120,YLR395C,0.9
Q0120,Q0045,0.9
Q0120,YDR231C,0.9143
Q0120,YLL018C-A,0.9
Q0120,YGL191W,0.9
Q0120,Q0050,0.9
Q0120,YDR178W,0.9
Q0120,Q0105,0.9
Q0120,YNL052W,0.9
Q0120,YML120C,0.9
Q0120,YHR001W-A,0.9
Q0120,YIL111W,0.9
Q0120,YGL187C,0.9271
Q0130,YMR203W,0.9
Q0130,YEL027W,0.72
Q0130,YIL022W,0.9
Q0130,YNL121C,0.9
Q0130,YOR065W,0.9
Q0130,YLR447C,0.72
Q0130,YKL016C,0.98852
Q0130,YNR001C,0.9
Q0130,YJL054W,0.9
Q0130,YDL120W,0.9
Q0130,YMR054W,0.72
Q0130,YOR020W-A,0.54
Q0130,YDR377W,0.944
Q0130,YPR020W,0.72
Q0130,YMR002W,0.9
Q0130,YPL078C,0.98852
Q0130,YNL070W,0.9
Q0130,YGR181W,0.9
Q0130,YBR127C,0.72
Q0130,YLR218C,0.9
Q0130,YMR267W,0.65
Q0130,YPL234C,0.72
Q0130,YGR020C,0.72
Q0130,YOR332W,0.72
Q0130,YNR017W,0.9
Q0130,YDL004W,0.944
Q0130,YBL059C-A,0.9
Q0130,YMR244C-A,0.9
Q0130,YJR045C,0.536
Q0130,YOR270C,0.72
Q0130,YDL185W,0.72
Q0130,YML081C-A,0.944
Q0130,YEL020W-A,0.9
Q0130,YNL055C,0.9
Q0130,YMR038C,0.9
Q0130,YLR259C,0.9
Q0130,YDR375C,0.9
Q0130,YDL217C,0.9
Q0130,YJR121W,0.9959
Q0130,YNL052W,0.9
Q0130,YPL063W,0.9
Q0130,YDR322C-A,0.72
Q0130,YBR039W,0.944
Q0130,YNL037C,0.9
Q0130,YGR033C,0.9
Q0130,YER170W,0.9
Q0130,YPL271W,0.944
Q0130,YOR045W,0.9
Q0130,YJR135W-A,0.9
Q0130,YMR056C,0.9
Q0130,YLR008C,0.9
Q0130,YOL077W-A,0.944
Q0130,YNR041C,0.9
Q0130,YKL080W,0.72
Q0130,YGR082W,0.9
Q0130,YLR295C,0.944
Q0130,YML054C,0.9
Q0130,YPR036W,0.72
Q0130,YLR163C,0.9
Q0130,YLR393W,0.808
Q0130,YEL051W,0.72
Q0130,YPR140W,0.9
Q0130,YHR051W,0.536
Q0130,YKR065C,0.9
Q0130,YLR203C,0.581
Q0130,YGL018C,0.9
Q0130,YHR005C-A,0.9
Q0130,YER154W,0.536
Q0130,YLR304C,0.9
Q0130,YPR133W-A,0.9
Q0130,YLL009C,0.9
Q0130,YHR026W,0.72
Q0130,YDL174C,0.9
Q0130,YOR232W,0.9
Q0130,YDR226W,0.9
Q0130,Q0085,0.98852
Q0130,YBR011C,0.65
Q0130,YJL104W,0.9
Q0130,YLL018C-A,0.9
Q0130,YCL005W-A,0.72
Q0130,YBL099W,0.9959
Q0130,YHR024C,0.9
Q0130,YDR298C,0.944
Q0130,YKL053C-A,0.9
Q0130,YDR031W,0.9
Q0130,Q0080,0.944
Q0130,YGL187C,0.9
Q0130,YNL131W,0.9
Q0130,YJL143W,0.9
Q0130,YHR039C-A,0.72
Q0140,YDR405W,0.8
Q0140,YNL005C,0.8
Q0140,YJL096W,0.8
Q0140,YPR100W,0.8
Q0140,YGL129C,0.98
Q0140,YDL045W-A,0.98
Q0140,YBR282W,0.8
Q0140,YGR215W,0.98
Q0140,YBR122C,0.8
Q0140,YOR150W,0.8
Q0140,YHL004W,0.9934000000000001
Q0140,YER154W,0.581
Q0140,YJL063C,0.8
Q0140,YJR045C,0.536
Q0140,YJR101W,0.98
Q0140,YMR158W,0.98
Q0140,YPL013C,0.98
Q0140,YFR049W,0.72
Q0140,YDR175C,0.98
Q0140,YPL173W,0.8
Q0140,YDR041W,0.98
Q0140,YPR166C,0.98
Q0140,YMR286W,0.8
Q0140,YDR237W,0.8
Q0140,YMR193W,0.8
Q0140,YMR188C,0.98
Q0140,YHR147C,0.8
Q0140,YCR003W,0.8
Q0140,YNL137C,0.98
Q0140,YER050C,0.98
Q0140,YBR146W,0.98
Q0140,YDR494W,0.98
Q0140,YCR046C,0.8
Q0140,YKL003C,0.98
Q0140,YNR022C,0.8
Q0140,YDR296W,0.8
Q0140,YBL090W,0.98
Q0140,YHR059W,0.8
Q0140,YLR439W,0.8
Q0140,YGR165W,0.98
Q0140,YJR113C,0.98
Q0140,YBR251W,0.98
Q0140,YLR312W-A,0.8
Q0140,YGR076C,0.8
Q0140,YNL252C,0.8
Q0140,YOR158W,0.98
Q0140,YCR071C,0.8
Q0140,YNR036C,0.944
Q0140,YKR085C,0.8
Q0140,YHR075C,0.9
Q0140,YNL081C,0.8
Q0140,YNL177C,0.8
Q0140,YGR084C,0.98
Q0140,YBL038W,0.8
Q0140,YNL284C,0.8
Q0140,YKL170W,0.8
Q0140,YDR337W,0.98
Q0140,YPL118W,0.98
Q0140,YDR036C,0.8
Q0140,YNR037C,0.98
Q0140,YNL306W,0.98
Q0140,Q0045,0.581
Q0140,YML009C,0.8
Q0140,YML025C,0.8
Q0140,YDR322W,0.8
Q0140,YDR462W,0.8
Q0140,YMR024W,0.8
Q0140,YKL138C,0.8
Q0140,YGR220C,0.8
Q0140,YKR006C,0.8
Q0140,YEL050C,0.8
Q0140,YDR347W,0.98
Q0140,YKL155C,0.9324
Q0140,YIL093C,0.98
Q0140,YNL122C,0.8
Q0140,YDR115W,0.8
Q0140,YPL183W-A,0.8
Q0250,YML030W,0.808
Q0250,YOR065W,0.9348
Q0250,YBL090W,0.581
Q0250,YDL085W,0.9
Q0250,Q0070,0.54
Q0250,YPR191W,0.9297
Q0250,YLR038C,0.9297
Q0250,YDR119W-A,0.82024
Q0250,YMR244C-A,0.585
Q0250,Q0045,0.9808
Q0250,Q0050,0.9
Q0250,Q0105,0.9808
Q0250,YNL052W,0.9
Q0250,YML120C,0.9
Q0250,YHR001W-A,0.9
Q0250,YCL017C,0.59
Q0250,YGL226W,0.54
Q0250,YIL111W,0.72
Q0250,YJL062W-A,0.581
Q0250,YGR062C,0.536
Q0250,YDL137W,0.662
Q0250,YMR145C,0.9
Q0250,YER153C,0.581
Q0250,YIL051C,0.649
Q0250,YGR132C,0.56
Q0250,Q0065,0.54
Q0250,YLR163C,0.54
Q0250,YFR033C,0.9
Q0250,YHR051W,0.9808
Q0250,YJL166W,0.9
Q0250,Q0275,0.9808
Q0250,Q0120,0.9
Q0250,YLR203C,0.581
Q0250,YEL024W,0.9
Q0250,YGR183C,0.9
Q0250,YBL045C,0.9632000000000001
Q0250,YER154W,0.581
Q0250,YDR529C,0.9
Q0250,YMR256C,0.9808
Q0250,YDL067C,0.9
Q0250,YLR395C,0.9297
Q0250,YDL107W,0.536
Q0250,YGL191W,0.9
Q0250,Q0060,0.54
Q0250,YPL118W,0.581
Q0250,YGL187C,0.9808
Q0275,YJL062W-A,0.581
Q0275,YGR062C,0.536
Q0275,YML030W,0.808
Q0275,Q0250,0.9808
Q0275,YMR145C,0.9
Q0275,YOR065W,0.9
Q0275,YER153C,0.581
Q0275,YBL090W,0.581
Q0275,YDL085W,0.9
Q0275,Q0070,0.54
Q0275,YPR191W,0.9
Q0275,Q0065,0.54
Q0275,YLR163C,0.54
Q0275,YFR033C,0.9
Q0275,YHR051W,0.9808
Q0275,YJL166W,0.9
Q0275,Q0120,0.9
Q0275,YLR203C,0.581
Q0275,YEL024W,0.9
Q0275,YGR183C,0.9
Q0275,YBL045C,0.9
Q0275,YLR038C,0.9297
Q0275,YDR119W-A,0.72
Q0275,YER154W,0.581
Q0275,YDR529C,0.9
Q0275,YMR256C,0.9808
Q0275,YDL067C,0.9
Q0275,Q0085,0.808
Q0275,YLR395C,0.9297
Q0275,Q0045,0.9808
Q0275,YDL107W,0.536
Q0275,Q0050,0.9
Q0275,YGL191W,0.9297
Q0275,Q0060,0.54
Q0275,Q0105,0.9808
Q0275,YGR222W,0.585
Q0275,YNL052W,0.9808
Q0275,YML120C,0.9
Q0275,YHR001W-A,0.9
Q0275,YPL118W,0.581
Q0275,YGL226W,0.54
Q0275,YIL111W,0.72
Q0275,YGL187C,0.9808
YAL001C,YGR047C,0.9645
YAL001C,YGR246C,0.956
YAL001C,YNL039W,0.9667
YAL001C,YNR003C,0.9101
YAL001C,YDL150W,0.9
YAL001C,YKL006W,0.56
YAL001C,YBR154C,0.9
YAL001C,YBR123C,0.9808
YAL001C,YPR110C,0.9
YAL001C,YDR362C,0.9639
YAL001C,YPR190C,0.9666
YAL001C,YHR143W-A,0.9297
YAL001C,YOR210W,0.9
YAL001C,YML073C,0.56
YAL001C,YPR187W,0.9
YAL001C,YOR110W,0.9808
YAL001C,YER148W,0.9296
YAL001C,YLR344W,0.56
YAL001C,YNL151C,0.9237
YAL001C,YJL011C,0.9296
YAL001C,YKL144C,0.9
YAL001C,YPL007C,0.9808
YAL001C,YOR116C,0.9
YAL001C,YOR207C,0.9
YAL001C,YPR186C,0.9
YAL001C,YNL113W,0.9
YAL001C,YOR224C,0.9
YAL001C,YDR045C,0.9324
YAL002W,YLR396C,0.9808
YAL002W,YMR231W,0.9808
YAL002W,YOR036W,0.808
YAL002W,YKR014C,0.808
YAL002W,YNL093W,0.536
YAL002W,YDR080W,0.84682
YAL002W,YLR148W,0.9808
YAL002W,YFL026W,0.581
YAL002W,YKL203C,0.583
YAL002W,YOR089C,0.808
YAL002W,YOR154W,0.726
YAL002W,YDL077C,0.91168
YAL002W,YEL043W,0.641
YAL002W,YDR495C,0.9808
YAL002W,YKR026C,0.72
YAL002W,YGL212W,0.808
YAL002W,YDR323C,0.536
YAL002W,YPL045W,0.9808
YAL003W,YBR118W,0.98852
YAL003W,YDR314C,0.805
YAL003W,YLR249W,0.56
YAL003W,YPR080W,0.9959
YAL003W,YOR046C,0.599
YAL003W,YOL072W,0.595
YAL003W,YBR143C,0.585
YAL003W,YPL048W,0.9735
YAL003W,YDR172W,0.585
YAL003W,YOL006C,0.598
YAL003W,YOR038C,0.599
YAL003W,YKL081W,0.9747
YAL003W,YKL101W,0.645
YAL005C,YOR027W,0.581
YAL005C,YNL121C,0.585
YAL005C,YNR034W-A,0.585
YAL005C,YLR256W,0.56
YAL005C,YOR346W,0.581
YAL005C,YHR069C,0.56
YAL005C,YBR101C,0.621
YAL005C,YGL073W,0.581
YAL005C,YLL024C,0.585
YAL005C,YER161C,0.536
YAL005C,YDR172W,0.585
YAL005C,YJR032W,0.581
YAL005C,YPL240C,0.585
YAL005C,YNL064C,0.581
YAL005C,YDR533C,0.581
YAL005C,YGR184C,0.56
YAL005C,YKL209C,0.581
YAL005C,YBL075C,0.585
YAL005C,YKL145W,0.585
YAL005C,YOR391C,0.581
YAL005C,YNL197C,0.585
YAL005C,YNL025C,0.536
YAL005C,YMR186W,0.56
YAL005C,YPL280W,0.581
YAL005C,YER103W,0.585
YAL005C,YDL229W,0.585
YAL005C,YDL020C,0.581
YAL005C,YOR007C,0.581
YAL005C,YCR012W,0.536
YAL005C,YOR151C,0.598
YAL005C,YLR310C,0.536
YAL005C,YER151C,0.581
YAL005C,YPL203W,0.56
YAL005C,YNL229C,0.585
YAL005C,YPL106C,0.585
YAL005C,YJL061W,0.536
YAL005C,YNL189W,0.536
YAL005C,YNL209W,0.585
YAL005C,YMR078C,0.56
YAL005C,YOR160W,0.56
YAL005C,YPR010C,0.602
YAL007C,YDR086C,0.608
YAL007C,YMR290C,0.565
YAL007C,YLR342W,0.565
YAL007C,YDR051C,0.583
YAL007C,YDR127W,0.608
YAL007C,YPL211W,0.607
YAL007C,YDR101C,0.565
YAL007C,YJL034W,0.585
YAL007C,YAR002C-A,0.808
YAL007C,YER110C,0.565
YAL007C,YGR231C,0.608
YAL007C,YDR087C,0.61
YAL007C,YNL181W,0.565
YAL007C,YGL200C,0.759
YAL007C,YDR100W,0.667
YAL007C,YBR245C,0.808
YAL007C,YDR293C,0.517
YAL007C,YML012W,0.702
YAL008W,YPL186C,0.808
YAL008W,YDR299W,0.662
YAL009W,YKL193C,0.72
YAL009W,YKL190W,0.72
YAL009W,YDR211W,0.608
YAL009W,YJL176C,0.599
YAL009W,YBL046W,0.72
YAL009W,YNL201C,0.72
YAL009W,YLR342W,0.609
YAL009W,YBR050C,0.72
YAL009W,YIL153W,0.54
YAL009W,YHR004C,0.89836
YAL009W,YOR062C,0.54
YAL009W,YNL181W,0.608
YAL009W,YBL105C,0.56
YAL009W,YFR003C,0.54
YAL009W,YMR311C,0.54
YAL009W,YBR045C,0.72
YAL009W,YDR130C,0.72
YAL009W,YER054C,0.72
YAL009W,YDL134C,0.72
YAL009W,YER133W,0.72
YAL009W,YLR433C,0.72
YAL009W,YPL152W,0.72
YAL009W,YGL190C,0.72
YAL009W,YOR311C,0.56
YAL009W,YDR075W,0.72
YAL009W,YAL016W,0.72
YAL009W,YML057W,0.72
YAL009W,YOR178C,0.72
YAL009W,YDL116W,0.56
YAL009W,YKR075C,0.54
YAL009W,YDL040C,0.609
YAL009W,YDR028C,0.72
YAL009W,YMR165C,0.56
YAL009W,YLR273C,0.72
YAL009W,YDL047W,0.72
YAL010C,YMR203W,0.88268
YAL010C,YLL001W,0.8116000000000001
YAL010C,YOR045W,0.72
YAL010C,YGL219C,0.8572000000000001
YAL010C,YNL121C,0.76004
YAL010C,YBR170C,0.72
YAL010C,YPL235W,0.606
YAL010C,YGR082W,0.72
YAL010C,YGR132C,0.581
YAL010C,YFR028C,0.536
YAL010C,YHR083W,0.8837999999999999
YAL010C,YDR049W,0.7438
YAL010C,YKR001C,0.8
YAL010C,YNL070W,0.8768
YAL010C,YNL026W,0.8768
YAL010C,YGR231C,0.581
YAL010C,YJL066C,0.581
YAL010C,YLL006W,0.917
YAL010C,YPR133W-A,0.72
YAL010C,YAL048C,0.8837999999999999
YAL010C,YMR060C,0.82024
YAL010C,YDL126C,0.72
YAL010C,YMR055C,0.536
YAL010C,YMR001C,0.536
YAL010C,YOL009C,0.8996000000000001
YAL010C,YNL131W,0.804
YAL011W,YDR224C,0.651
YAL011W,YOL111C,0.733
YAL011W,YER092W,0.75108
YAL011W,YML041C,0.9647
YAL011W,YIL109C,0.62
YAL011W,YPL235W,0.9546
YAL011W,YOR141C,0.7382
YAL011W,YGL150C,0.9059
YAL011W,YOL012C,0.56
YAL011W,YJL081C,0.9582
YAL011W,YPL129W,0.9083
YAL011W,YLR385C,0.9648
YAL011W,YEL044W,0.72
YAL011W,YNL215W,0.72
YAL011W,YDR190C,0.9662000000000001
YAL011W,YDR485C,0.9662000000000001
YAL011W,YOR189W,0.9139
YAL011W,YLR399C,0.9348
YAL011W,YNL059C,0.9
YAL011W,YNL107W,0.9585
YAL011W,YFL039C,0.9277
YAL011W,YDL002C,0.9
YAL011W,YDR334W,0.9662000000000001
YAL011W,YFL013C,0.9
YAL011W,YGR002C,0.9206
YAL011W,YLR052W,0.9111
YAL011W,YLR085C,0.9623
YAL011W,YBR231C,0.9646
YAL012W,YJR130C,0.9
YAL012W,YOR184W,0.662
YAL012W,YJR148W,0.9
YAL012W,YLR027C,0.9
YAL012W,YER043C,0.8
YAL012W,YGR155W,0.9358
YAL012W,YMR300C,0.808
YAL012W,YGR012W,0.9
YAL012W,YJR139C,0.8128000000000001
YAL012W,YDR353W,0.9056000000000001
YAL012W,YPL209C,0.608
YAL012W,YFR055W,0.9
YAL012W,YPL273W,0.8
YAL012W,YKL210W,0.651
YAL012W,YER156C,0.662
YAL012W,YKL130C,0.796
YAL012W,YDR415C,0.651
YAL012W,YGL184C,0.9
YAL012W,YIL083C,0.8
YAL012W,YLR303W,0.9
YAL012W,YFR044C,0.8
YAL012W,YML082W,0.9
YAL012W,YER086W,0.8
YAL012W,YOR251C,0.9
YAL012W,YGR264C,0.9057000000000001
YAL012W,YER091C,0.9
YAL012W,YLR084C,0.662
YAL012W,YMR235C,0.738
YAL012W,YGR171C,0.9
YAL012W,YLL062C,0.8
YAL012W,YHR208W,0.9
YAL012W,YHR106W,0.9
YAL012W,YLL058W,0.9
YAL012W,YCL064C,0.8
YAL012W,YJL101C,0.8160000000000001
YAL012W,YHR025W,0.8
YAL012W,YKL106W,0.9
YAL013W,YDR295C,0.9111
YAL013W,YOL004W,0.9638
YAL013W,YMR263W,0.9726
YAL013W,YPL181W,0.9662000000000001
YAL013W,YNL097C,0.9295
YAL013W,YER088C,0.9
YAL013W,YDR155C,0.9
YAL013W,YMR075W,0.9
YAL013W,YPR068C,0.72
YAL013W,YNL330C,0.9606
YAL013W,YBL054W,0.9
YAL013W,YDL076C,0.9295
YAL013W,YGL131C,0.9
YAL013W,YNL309W,0.9
YAL013W,YBR095C,0.9662000000000001
YAL013W,YKL072W,0.54
YAL013W,YCR081W,0.54
YAL013W,YKL185W,0.966
YAL013W,YBR103W,0.9117000000000001
YAL013W,YGL194C,0.9138000000000001
YAL013W,YLR183C,0.9
YAL013W,YCR033W,0.9133
YAL013W,YDR207C,0.9295
YAL013W,YPL139C,0.9737
YAL013W,YMR176W,0.9
YAL013W,YOL068C,0.9
YAL013W,YMR053C,0.9
YAL013W,YPR179C,0.9111
YAL013W,YIL112W,0.9074
YAL013W,YPR023C,0.9138000000000001
YAL013W,YIL084C,0.9733
YAL013W,YNL021W,0.9
YAL013W,YKR029C,0.9133
YAL013W,YOR279C,0.72
YAL014C,YGL212W,0.8
YAL014C,YHL031C,0.54
YAL014C,YGL095C,0.54
YAL014C,YDR468C,0.57726
YAL014C,YBL050W,0.54
YAL014C,YMR183C,0.54
YAL014C,YLR078C,0.54
YAL014C,YKL006C-A,0.54
YAL014C,YOR106W,0.8594
YAL014C,YGL098W,0.54
YAL014C,YOR327C,0.54
YAL014C,YNR049C,0.54
YAL014C,YLR026C,0.54
YAL014C,YDR498C,0.54
YAL014C,YMR197C,0.9436
YAL014C,YPL232W,0.54
YAL014C,YMR017W,0.54
YAL014C,YOR036W,0.67662
YAL014C,YLR093C,0.67662
YAL014C,YFR051C,0.59
YAL014C,YDR264C,0.626
YAL014C,YOL018C,0.54
YAL014C,YJR125C,0.536
YAL014C,YLR268W,0.54
YAL014C,YGR009C,0.54
YAL014C,YIL004C,0.54
YAL014C,YAL030W,0.67662
YAL014C,YKL196C,0.8594
YAL014C,YOR075W,0.54
YAL015C,YMR201C,0.536
YAL015C,YBL019W,0.9309000000000001
YAL015C,YKL114C,0.536
